episode_id,selected,skip_reason,already_used_round4,already_used_round5,description_path,description_exists,summary_path,summary_exists,summary_metadata_exists,h5_dataset,h5_dataset_exists,h5_trs,description_segments,max_description_end_s,inferred_feature_trs,needed_end,margin,passes_desc_h5_tr
s01e01a,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e01a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e01a/summary.json,True,True,ses-003_task-s01e01a,True,592,333,881.0,592,587,5,True
s01e01b,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e01b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e01b/summary.json,True,True,ses-003_task-s01e01b,True,592,343,879.0,590,587,3,True
s01e02a,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e02a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e02a/summary.json,True,True,ses-001_task-s01e02a,True,482,251,718.0,482,477,5,True
s01e02b,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e02b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e02b/summary.json,True,True,ses-001_task-s01e02b,True,482,269,718.0,482,477,5,True
s01e03a,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e03a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e03a/summary.json,True,True,ses-001_task-s01e03a,True,472,274,703.0,472,467,5,True
s01e03b,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e03b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e03b/summary.json,True,True,ses-001_task-s01e03b,True,472,261,703.0,472,467,5,True
s01e04a,False,,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e04a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e04a/summary.json,True,True,ses-002_task-s01e04a,True,503,259,672.0,452,498,-46,False
s01e04b,False,,False,False,friends/description/downloaded_refine_descriptions/mv_friends_s01e04b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e04b/summary.json,True,True,ses-002_task-s01e04b,True,503,163,453.0,305,498,-193,False
s01e05a,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e05a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e05a/summary.json,True,True,ses-002_task-s01e05a,True,468,277,697.0,468,463,5,True
s01e05b,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e05b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e05b/summary.json,True,True,ses-002_task-s01e05b,True,468,243,689.0,463,463,0,True
s01e06a,False,,True,True,friends/description/downloaded_refine_descriptions/mv_friends_s01e06a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e06a/summary.json,True,True,ses-003_task-s01e06a,True,488,280,727.0,488,483,5,True
