episode_id,selected,current_split,already_in_current_config,known_bad_description,description_exists,description_segments,max_description_end_s,inferred_feature_trs,description_parse_error,h5_dataset_exists,h5_dataset,h5_trs,needed_end,margin,passes_desc_h5_tr,summary_ok,complete_roi_count,missing_roi_count,warning_total,failed_batches,zero_filled_segments,eligible_new_train,skip_reason,description_path
s01e01a,False,train,True,False,True,333,881.0,592,,True,ses-003_task-s01e01a,592,587,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e01a/descriptions/refined_description.md
s01e01b,False,train,True,False,True,343,879.0,590,,True,ses-003_task-s01e01b,592,587,3,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e01b/descriptions/refined_description.md
s01e02a,False,train,True,False,True,251,718.0,482,,True,ses-001_task-s01e02a,482,477,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e02a/descriptions/refined_description.md
s01e02b,False,train,True,False,True,269,718.0,482,,True,ses-001_task-s01e02b,482,477,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e02b/descriptions/refined_description.md
s01e03a,False,train,True,False,True,274,703.0,472,,True,ses-001_task-s01e03a,472,467,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e03a/descriptions/refined_description.md
s01e03b,False,train,True,False,True,261,703.0,472,,True,ses-001_task-s01e03b,472,467,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e03b/descriptions/refined_description.md
s01e04a,False,,False,False,True,259,672.0,452,,True,ses-002_task-s01e04a,503,498,-46,False,True,0,14,0,0,0,False,insufficient_description_h5_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s01e04a/descriptions/refined_description.md
s01e04b,False,,False,False,True,163,453.0,305,,True,ses-002_task-s01e04b,503,498,-193,False,True,0,14,0,0,0,False,insufficient_description_h5_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s01e04b/descriptions/refined_description.md
s01e05a,False,train,True,False,True,277,697.0,468,,True,ses-002_task-s01e05a,468,463,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e05a/descriptions/refined_description.md
s01e05b,False,train,True,False,True,243,689.0,463,,True,ses-002_task-s01e05b,468,463,0,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e05b/descriptions/refined_description.md
s01e06a,False,train,True,False,True,280,727.0,488,,True,ses-003_task-s01e06a,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e06a/descriptions/refined_description.md
s01e06b,False,train,True,False,True,277,727.0,488,,True,ses-003_task-s01e06b,488,483,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e06b/descriptions/refined_description.md
s01e07a,False,,False,False,True,289,734.0,493,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e07a/descriptions/refined_description.md
s01e07b,False,,False,False,True,275,734.0,493,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e07b/descriptions/refined_description.md
s01e08a,False,,False,False,True,249,708.0,476,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e08a/descriptions/refined_description.md
s01e08b,False,,False,False,True,294,708.0,476,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e08b/descriptions/refined_description.md
s01e09a,False,,False,False,True,252,696.0,468,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e09a/descriptions/refined_description.md
s01e09b,False,,False,False,True,264,696.0,468,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e09b/descriptions/refined_description.md
s01e10a,False,,False,False,True,265,738.0,496,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e10a/descriptions/refined_description.md
s01e10b,False,,False,False,True,134,343.0,231,,False,,,,,False,False,0,14,0,0,0,False,missing_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e10b/descriptions/refined_description.md
s01e11a,False,train,True,False,True,258,710.0,477,,True,ses-005_task-s01e11a,477,472,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e11a/descriptions/refined_description.md
s01e11b,False,train,True,False,True,281,710.0,477,,True,ses-005_task-s01e11b,477,472,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e11b/descriptions/refined_description.md
s01e12a,False,train,True,False,True,241,701.0,471,,True,ses-006_task-s01e12a,472,467,4,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e12a/descriptions/refined_description.md
s01e12b,False,train,True,False,True,277,701.0,471,,True,ses-006_task-s01e12b,471,466,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e12b/descriptions/refined_description.md
s01e13a,False,train,True,False,True,275,697.0,468,,True,ses-006_task-s01e13a,468,463,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e13a/descriptions/refined_description.md
s01e13b,False,train,True,False,True,254,697.0,468,,True,ses-006_task-s01e13b,468,463,5,True,True,14,0,0,0,0,False,already_in_train,friends/description/downloaded_refine_descriptions/mv_friends_s01e13b/descriptions/refined_description.md
