#,中文名,英文名,大致解剖位置,Brodmann 分区,主要高级功能
1,**背外侧前额叶**,Dorsolateral Prefrontal Cortex (**DLPFC**),Brodmann 9/46 区，额叶背外侧,"BA 9, 46（核心）；常扩展至 BA 8, 10 背外侧部",工作记忆、认知控制、目标导向行为
2,**腹内侧前额叶**,Ventromedial Prefrontal Cortex (**VMPFC**),额叶底部内侧,"BA 10, 11, 25（内侧部）；部分涉及 BA 14, 32",价值决策、情绪调节、自我参照加工
3,**眶额皮层**,Orbitofrontal Cortex (**OFC**),额叶眶面,"BA 10, 11, 12, 13, 14, 25, 47",奖赏学习、结果预期、刺激–价值表征
4,**前扣带回**,Anterior Cingulate Cortex (**ACC**；含背侧 dACC 与膝下 sgACC),扣带回前部,"BA 24, 32（背侧 dACC）；BA 25（膝下 sgACC）；BA 33（前部）",冲突监控、错误检测、动机/情绪整合
5,**后扣带回**,Posterior Cingulate Cortex (**PCC**),扣带回后部,"BA 23, 31；与楔前叶共享 BA 7 内侧部",默认网络核心节点、情景记忆、自我相关加工
6,**楔前叶**,Precuneus,顶叶内侧后部,"BA 7, 19, 31；顶叶内侧后部核心区域",自我意识、情景记忆提取、视觉空间想象
7,**顶下小叶**,Inferior Parietal Lobule (**IPL**),顶叶下部,BA 39（角回/后部）、BA 40（缘上回/前部）,多感觉整合、注意重定向、数学/空间认知
8,**缘上回**,Supramarginal Gyrus (**SMG**),IPL 前部（围绕外侧沟末端）,BA 40（IPL 前部，围绕外侧沟末端）,语音工作记忆、动作观察、躯体感觉整合
9,**角回**,Angular Gyrus (**AG**),IPL 后部,BA 39（IPL 后部，颞顶枕交界）,语义整合、阅读、数字加工、心理理论
10,**颞顶联合区**,Temporoparietal Junction (**TPJ**),颞叶与顶叶交界,BA 39（角回）、BA 22（颞上回后部）、BA 40（缘上回）交界,心理理论、注意转换、错误监测
11,**颞上沟后部**,Posterior Superior Temporal Sulcus (**pSTS**),颞上沟后端,BA 21（颞中回后部）、BA 22（颞上回后部/韦尼克区邻近）,生物运动感知、意图推断、眼神加工
12,**梭状回面孔区**,Fusiform Face Area (**FFA**),颞叶腹侧梭状回,大致位于 BA 37（梭状回中部）；无独立 Brodmann 编号，邻近 BA 20,面孔识别与专家化视觉加工
13,**脑岛**,Insula（常分前/后）,外侧沟深部，被额/顶/颞叶覆盖,BA 13–16（岛叶皮层本身）；前岛叶常与 BA 47/11 眶额过渡,内感受、情绪意识、风险决策、痛觉共情
14,**颞极**,Temporal Pole,颞叶最前端,BA 38（颞极皮层）；部分前内侧涉及 BA 20/21 最前端,语义记忆、社会概念、自传体记忆
