episode_id,selected,reason,description_path,description_exists,summary_path,summary_exists,summary_metadata_exists,h5_dataset,h5_dataset_count,h5_trs,description_segments,max_description_end_s,inferred_feature_trs,needed_end,margin,already_used_round3
s01e01a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e01a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e01a/summary.json,True,True,ses-003_task-s01e01a,1,592,333,881.0,592,587,5,True
s01e01b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e01b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e01b/summary.json,True,True,ses-003_task-s01e01b,1,592,343,879.0,590,587,3,True
s01e02a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e02a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e02a/summary.json,True,True,ses-001_task-s01e02a,1,482,251,718.0,482,477,5,True
s01e02b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e02b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e02b/summary.json,True,True,ses-001_task-s01e02b,1,482,269,718.0,482,477,5,True
s01e03a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e03a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e03a/summary.json,True,True,ses-001_task-s01e03a,1,472,274,703.0,472,467,5,True
s01e03b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e03b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e03b/summary.json,True,True,ses-001_task-s01e03b,1,472,261,703.0,472,467,5,True
s01e04a,False,insufficient_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s01e04a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e04a/summary.json,True,True,ses-002_task-s01e04a,1,503,259,672.0,452,498,-46,False
s01e04b,False,insufficient_tr_coverage,friends/description/downloaded_refine_descriptions/mv_friends_s01e04b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e04b/summary.json,True,True,ses-002_task-s01e04b,1,503,163,453.0,305,498,-193,False
s01e05a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e05a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e05a/summary.json,True,True,ses-002_task-s01e05a,1,468,277,697.0,468,463,5,True
s01e05b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e05b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e05b/summary.json,True,True,ses-002_task-s01e05b,1,468,243,689.0,463,463,0,True
s01e06a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e06a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e06a/summary.json,True,True,ses-003_task-s01e06a,1,488,280,727.0,488,483,5,True
s01e06b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e06b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e06b/summary.json,True,True,ses-003_task-s01e06b,1,488,277,727.0,488,483,5,True
s01e07a,False,missing_or_ambiguous_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e07a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e07a/summary.json,False,False,,0,,,,,,,False
s01e07b,False,missing_or_ambiguous_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e07b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e07b/summary.json,False,False,,0,,,,,,,False
s01e08a,False,missing_or_ambiguous_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e08a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e08a/summary.json,False,False,,0,,,,,,,False
s01e08b,False,missing_or_ambiguous_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e08b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e08b/summary.json,False,False,,0,,,,,,,False
s01e09a,False,missing_or_ambiguous_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e09a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e09a/summary.json,False,False,,0,,,,,,,False
s01e09b,False,missing_or_ambiguous_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e09b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e09b/summary.json,False,False,,0,,,,,,,False
s01e10a,False,missing_or_ambiguous_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e10a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e10a/summary.json,False,False,,0,,,,,,,False
s01e10b,False,missing_or_ambiguous_h5_dataset,friends/description/downloaded_refine_descriptions/mv_friends_s01e10b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e10b/summary.json,False,False,,0,,,,,,,False
s01e11a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e11a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e11a/summary.json,True,True,ses-005_task-s01e11a,1,477,258,710.0,477,472,5,True
s01e11b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e11b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e11b/summary.json,True,True,ses-005_task-s01e11b,1,477,281,710.0,477,472,5,True
s01e12a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e12a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e12a/summary.json,True,True,ses-006_task-s01e12a,1,472,241,701.0,471,467,4,True
s01e12b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e12b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e12b/summary.json,True,True,ses-006_task-s01e12b,1,471,277,701.0,471,466,5,True
s01e13a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e13a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e13a/summary.json,True,True,ses-006_task-s01e13a,1,468,275,697.0,468,463,5,True
s01e13b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e13b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e13b/summary.json,True,True,ses-006_task-s01e13b,1,468,254,697.0,468,463,5,True
s01e14a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e14a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e14a/summary.json,True,True,ses-006_task-s01e14a,1,491,279,731.0,491,486,5,True
s01e14b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e14b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e14b/summary.json,True,True,ses-006_task-s01e14b,1,491,283,731.0,491,486,5,True
s01e15a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e15a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e15a/summary.json,True,True,ses-007_task-s01e15a,1,477,289,704.0,473,472,1,True
s01e15b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e15b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e15b/summary.json,True,True,ses-007_task-s01e15b,1,477,263,710.0,477,472,5,True
s01e16a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e16a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e16a/summary.json,True,True,ses-007_task-s01e16a,1,483,279,719.0,483,478,5,True
s01e16b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e16b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e16b/summary.json,True,True,ses-007_task-s01e16b,1,483,276,719.0,483,478,5,True
s01e17a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e17a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e17a/summary.json,True,True,ses-007_task-s01e17a,1,483,297,719.0,483,478,5,True
s01e17b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e17b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e17b/summary.json,True,True,ses-007_task-s01e17b,1,483,295,719.0,483,478,5,True
s01e18a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e18a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e18a/summary.json,True,True,ses-008_task-s01e18a,1,497,249,740.0,497,492,5,True
s01e18b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e18b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e18b/summary.json,True,True,ses-008_task-s01e18b,1,497,292,740.0,497,492,5,True
s01e19a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e19a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e19a/summary.json,True,True,ses-008_task-s01e19a,1,460,268,685.0,460,455,5,True
s01e19b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e19b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e19b/summary.json,True,True,ses-008_task-s01e19b,1,460,233,685.0,460,455,5,True
s01e20a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e20a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e20a/summary.json,True,True,ses-009_task-s01e20a,1,460,228,685.0,460,455,5,True
s01e20b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e20b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e20b/summary.json,True,True,ses-009_task-s01e20b,1,460,277,685.0,460,455,5,True
s01e21a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e21a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e21a/summary.json,True,True,ses-009_task-s01e21a,1,477,270,710.0,477,472,5,True
s01e21b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e21b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e21b/summary.json,True,True,ses-009_task-s01e21b,1,477,275,710.0,477,472,5,True
s01e22a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e22a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e22a/summary.json,True,True,ses-009_task-s01e22a,1,474,291,706.0,474,469,5,True
s01e22b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e22b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e22b/summary.json,True,True,ses-009_task-s01e22b,1,474,266,705.0,474,469,5,True
s01e23a,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e23a/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e23a/summary.json,True,True,ses-010_task-s01e23a,1,462,285,687.0,462,457,5,True
s01e23b,False,already_in_round3_split,friends/description/downloaded_refine_descriptions/mv_friends_s01e23b/descriptions/refined_description.md,True,friends/full_runs/friends_full_scoring_start_14roi_gemini35_20260612/summaries/s01e23b/summary.json,True,True,ses-010_task-s01e23b,1,462,250,687.0,462,457,5,True
