target_roi,rank,direction,feature_index,expanded_feature_name,source_schema_roi,dimension_id,domain,lag,mean_coef,mean_abs_coef,positive_fraction,negative_fraction,sign_consistency,n_target_parcels,definition,trigger_list,scoreability_note,exclusion_note
SMG,1,negative,130,TPJ::blame_and_intentionality_assessment_lag2,TPJ,blame_and_intentionality_assessment,moral_and_normative_appraisal,2,-0.010785988556,0.010785988556,0.000000,1.000000,1.000000,6,"The degree to which the viewer must evaluate a character's level of blame, intentionality, or negligence behind a harmful outcome, distinguishing between accidents, negligence, and deliberate malice.",An accident that looks suspicious; A character being blamed for something they didn't do; Evaluating whether a character meant to cause harm,"Look for descriptions of accidents, negligence, false accusations, excuses, coercion, and debates over who is to blame for a tragedy.","Do not score clear-cut, deliberate acts of malice where there is absolutely no question about the character's intent and full culpability."
SMG,2,negative,752,DLPFC::tactical_planning_and_formulation_lag6,DLPFC,tactical_planning_and_formulation,strategic_goal_and_plan_tracking,6,-0.010562950237,0.010562950237,0.000000,1.000000,1.000000,6,"The extent to which characters explicitly formulate, discuss, or negotiate a multi-step, goal-directed plan or tactical maneuver.",Characters brainstorming a heist or rescue mission; A leader outlining a step-by-step strategy to their team; A character explaining a complex trick or trap they are setting; Explicit discussion of contingencies and backup plans,"Look for explicit dialogue or actions where characters map out future steps, assign roles, or discuss how to overcome specific obstacles to achieve a goal.",Do not score based on the actual execution of the plan unless the characters are actively discussing or adjusting the plan during execution.
SMG,3,negative,652,IPL::salient_cue_detection_lag5,IPL,salient_cue_detection,attentional_reorienting_and_salience_detection,5,-0.009446739991,0.009489463057,0.166667,0.833333,0.833333,6,"Noticing a highly relevant, unexpected, or threatening object, detail, or cue that demands immediate attention.",spotting a hidden weapon; noticing a bloodstain; detecting a shadow moving; finding a critical piece of evidence,Score based on the suddenness and significance of a specific cue being noticed by a character or the viewer.,Do not score general observation of expected objects in the environment.
SMG,4,negative,863,AG::metaphorical_conceptual_processing_lag6,AG,metaphorical_conceptual_processing,semantic_schema_and_anomaly_resolution,6,-0.009203772838,0.012770362824,0.333333,0.666667,0.666667,6,"The processing of metaphorical language, highly symbolic dialogue, or abstract concepts that require the viewer to map one domain of knowledge onto another.","A character speaking in extended metaphors or allegories.; A visual element or action that serves as a direct metaphor for an abstract concept.; Dialogue discussing complex, abstract philosophical ideas.","Look for text describing poetic dialogue, philosophical discussions, allegorical stories, or visual symbols that represent abstract ideas.","Do not score simple emotional expressions or literal descriptions of events, even if they are dramatic."
SMG,5,negative,478,SMG::tactile_and_somatic_contact_lag4,SMG,tactile_and_somatic_contact,somatic_and_pain_resonance,4,-0.008927827008,0.009888934910,0.166667,0.833333,0.833333,6,"The focus on physical touch, textures, temperature extremes, skin-to-skin contact, or intense somatic sensations.","running fingers over a rough, textured stone wall; shivering violently in a freezing cold blizzard; a gentle, intimate caress of a character's cheek; the feeling of heavy rain soaking through clothing; submerging a hand into thick, sticky mud","Look for descriptions of textures (rough, smooth, sticky), temperatures (hot, freezing), and the physical sensation of touch or skin contact.",Do not score visual descriptions of objects unless their tactile qualities are explicitly emphasized or experienced by a character.
SMG,6,negative,809,PCC::egocentric_spatial_navigation_lag6,PCC,egocentric_spatial_navigation,spatial_environmental_anchoring,6,-0.008653904822,0.008653904822,0.000000,1.000000,1.000000,6,"The tracking of characters' physical movements, orientation, and navigation relative to their immediate environment.","A character walking through a doorway or hallway; A character turning, climbing, or ducking to avoid obstacles; Descriptions of a character's physical path through a space; A character orienting themselves towards a specific landmark","Look for action verbs of motion and direction (e.g., 'walked past', 'turned left', 'climbed up', 'navigated through') and spatial prepositions.",Do not score stationary characters or general travel over long distances (like driving a car on a highway) where local navigation is not described.
SMG,7,negative,883,pSTS::dialogue_interactivity_and_turn_taking_lag6,pSTS,dialogue_interactivity_and_turn_taking,social_interaction_tracking,6,-0.008622289354,0.013882158210,0.333333,0.666667,0.666667,6,"The degree to which the scene features active, back-and-forth verbal communication and conversational turn-taking between characters.",Rapid verbal banter; Interrupted speech or overlapping dialogue; Direct question-and-answer exchanges; Heated arguments with quick verbal retorts,"Score based on the frequency, speed, and density of verbal turn-taking described in the text.",Do not score non-verbal interactions or solitary monologues/voiceovers where no interactive turn-taking occurs.
SMG,8,negative,621,PCC::egocentric_spatial_navigation_lag5,PCC,egocentric_spatial_navigation,spatial_environmental_anchoring,5,-0.008533961660,0.008533961660,0.000000,1.000000,1.000000,6,"The tracking of characters' physical movements, orientation, and navigation relative to their immediate environment.","A character walking through a doorway or hallway; A character turning, climbing, or ducking to avoid obstacles; Descriptions of a character's physical path through a space; A character orienting themselves towards a specific landmark","Look for action verbs of motion and direction (e.g., 'walked past', 'turned left', 'climbed up', 'navigated through') and spatial prepositions.",Do not score stationary characters or general travel over long distances (like driving a car on a highway) where local navigation is not described.
SMG,9,negative,888,pSTS::locomotion_and_gait_dynamics_lag6,pSTS,locomotion_and_gait_dynamics,biological_motion_and_action_intent_appraisal,6,-0.008488359134,0.009654209259,0.166667,0.833333,0.833333,6,"The physical manner of walking, running, or moving through space, conveying intent, urgency, or physical state (e.g., sneaking, stomping, stumbling).",Sneaking stealthily on tiptoes; Stumbling or limping heavily due to injury; Sprinting frantically away from danger; Stomping angrily out of a room,"Score based on the style, speed, urgency, and physical effort involved in a character's walking, running, or physical movement through space.",Do not score passive transportation (like riding in a car) or stationary physical actions.
SMG,10,negative,290,SMG::tactile_and_somatic_contact_lag3,SMG,tactile_and_somatic_contact,somatic_and_pain_resonance,3,-0.008398099113,0.009369948020,0.166667,0.833333,0.833333,6,"The focus on physical touch, textures, temperature extremes, skin-to-skin contact, or intense somatic sensations.","running fingers over a rough, textured stone wall; shivering violently in a freezing cold blizzard; a gentle, intimate caress of a character's cheek; the feeling of heavy rain soaking through clothing; submerging a hand into thick, sticky mud","Look for descriptions of textures (rough, smooth, sticky), temperatures (hot, freezing), and the physical sensation of touch or skin contact.",Do not score visual descriptions of objects unless their tactile qualities are explicitly emphasized or experienced by a character.
IPL,1,negative,883,pSTS::dialogue_interactivity_and_turn_taking_lag6,pSTS,dialogue_interactivity_and_turn_taking,social_interaction_tracking,6,-0.009344660436,0.011974594863,0.166667,0.833333,0.833333,12,"The degree to which the scene features active, back-and-forth verbal communication and conversational turn-taking between characters.",Rapid verbal banter; Interrupted speech or overlapping dialogue; Direct question-and-answer exchanges; Heated arguments with quick verbal retorts,"Score based on the frequency, speed, and density of verbal turn-taking described in the text.",Do not score non-verbal interactions or solitary monologues/voiceovers where no interactive turn-taking occurs.
IPL,2,negative,652,IPL::salient_cue_detection_lag5,IPL,salient_cue_detection,attentional_reorienting_and_salience_detection,5,-0.007996182487,0.009031309338,0.166667,0.833333,0.833333,12,"Noticing a highly relevant, unexpected, or threatening object, detail, or cue that demands immediate attention.",spotting a hidden weapon; noticing a bloodstain; detecting a shadow moving; finding a critical piece of evidence,Score based on the suddenness and significance of a specific cue being noticed by a character or the viewer.,Do not score general observation of expected objects in the environment.
IPL,3,negative,752,DLPFC::tactical_planning_and_formulation_lag6,DLPFC,tactical_planning_and_formulation,strategic_goal_and_plan_tracking,6,-0.007920863878,0.009312595091,0.166667,0.833333,0.833333,12,"The extent to which characters explicitly formulate, discuss, or negotiate a multi-step, goal-directed plan or tactical maneuver.",Characters brainstorming a heist or rescue mission; A leader outlining a step-by-step strategy to their team; A character explaining a complex trick or trap they are setting; Explicit discussion of contingencies and backup plans,"Look for explicit dialogue or actions where characters map out future steps, assign roles, or discuss how to overcome specific obstacles to achieve a goal.",Do not score based on the actual execution of the plan unless the characters are actively discussing or adjusting the plan during execution.
IPL,4,negative,902,FFA::recurring_character_recognition_lag6,FFA,recurring_character_recognition,character_identity_tracking,6,-0.007801993626,0.008579700253,0.083333,0.916667,0.916667,12,"The re-entry of an established character after an absence, requiring the viewer to retrieve and match their facial identity.",character returns; re-entering the scene; recognizing a familiar face; reunion of characters; character steps back into frame,Score based on the return of known characters and the narrative/visual weight of their re-entry.,Do not score high for characters who have been continuously on screen without leaving.
IPL,5,negative,7,DLPFC::social_norm_and_tactical_boundary_negotiation_lag2,DLPFC,social_norm_and_tactical_boundary_negotiation,rule_and_normative_constraint_integration,2,-0.007414980819,0.009002475062,0.166667,0.833333,0.833333,12,"The characters' conscious navigation, negotiation, or manipulation of implicit social norms, etiquette, hierarchy, or high-stakes social expectations.","A character navigating a tense, high-society dinner party with strict unwritten rules; A character trying to fit into a subculture or group with unique social codes; A delicate diplomatic or political interaction requiring extreme tact; A character deliberately manipulating social expectations to achieve a goal","Driven by scenes rich in subtext, social tension, etiquette, class dynamics, or implicit codes of conduct.","Do not score physical conflicts or explicit, formal rules."
IPL,6,negative,130,TPJ::blame_and_intentionality_assessment_lag2,TPJ,blame_and_intentionality_assessment,moral_and_normative_appraisal,2,-0.007210638513,0.008730829480,0.083333,0.916667,0.916667,12,"The degree to which the viewer must evaluate a character's level of blame, intentionality, or negligence behind a harmful outcome, distinguishing between accidents, negligence, and deliberate malice.",An accident that looks suspicious; A character being blamed for something they didn't do; Evaluating whether a character meant to cause harm,"Look for descriptions of accidents, negligence, false accusations, excuses, coercion, and debates over who is to blame for a tragedy.","Do not score clear-cut, deliberate acts of malice where there is absolutely no question about the character's intent and full culpability."
IPL,7,negative,888,pSTS::locomotion_and_gait_dynamics_lag6,pSTS,locomotion_and_gait_dynamics,biological_motion_and_action_intent_appraisal,6,-0.006999034275,0.009897046669,0.166667,0.833333,0.833333,12,"The physical manner of walking, running, or moving through space, conveying intent, urgency, or physical state (e.g., sneaking, stomping, stumbling).",Sneaking stealthily on tiptoes; Stumbling or limping heavily due to injury; Sprinting frantically away from danger; Stomping angrily out of a room,"Score based on the style, speed, urgency, and physical effort involved in a character's walking, running, or physical movement through space.",Do not score passive transportation (like riding in a car) or stationary physical actions.
IPL,8,negative,899,FFA::multiple_faces_density_lag6,FFA,multiple_faces_density,face_presence_and_salience,6,-0.006936603150,0.007635770255,0.166667,0.833333,0.833333,12,"The density and number of human faces visible simultaneously on screen, from a single face to crowded scenes.",crowded room; group shot of characters; audience looking at a stage; busy street with pedestrians; multiple faces in the frame,Score based on the described number of people or faces present and visible in the scene simultaneously.,"Do not score high for scenes with many people if their faces are not visible (e.g., shown from behind, in silhouette, or far distance)."
