target_roi,rank,direction,feature_index,expanded_feature_name,source_schema_roi,dimension_id,domain,lag,mean_coef,mean_abs_coef,positive_fraction,negative_fraction,sign_consistency,n_target_parcels,definition,trigger_list,scoreability_note,exclusion_note
SMG,1,absolute,471,SMG::dialogue_density_and_tempo_lag4,SMG,dialogue_density_and_tempo,verbal_phonological_tracking,4,0.027759816181,0.029449205682,0.666667,0.333333,0.666667,6,"The density, speed, and overall tempo of spoken dialogue or narration in the scene.","characters speaking rapidly and overlapping; a fast-paced, witty banter sequence; a rapid-fire monologue or voiceover; characters interrupting each other constantly; a high volume of spoken words in a short period","Score based on the described speed, density, and frequency of spoken words, dialogue exchanges, or voiceovers.",Do not score non-verbal sounds (like groans or screams) or written text shown on screen.
SMG,2,absolute,283,SMG::dialogue_density_and_tempo_lag3,SMG,dialogue_density_and_tempo,verbal_phonological_tracking,3,0.025116708688,0.027762017263,0.666667,0.333333,0.666667,6,"The density, speed, and overall tempo of spoken dialogue or narration in the scene.","characters speaking rapidly and overlapping; a fast-paced, witty banter sequence; a rapid-fire monologue or voiceover; characters interrupting each other constantly; a high volume of spoken words in a short period","Score based on the described speed, density, and frequency of spoken words, dialogue exchanges, or voiceovers.",Do not score non-verbal sounds (like groans or screams) or written text shown on screen.
SMG,3,absolute,659,SMG::dialogue_density_and_tempo_lag5,SMG,dialogue_density_and_tempo,verbal_phonological_tracking,5,0.024927397512,0.025691004485,0.833333,0.166667,0.833333,6,"The density, speed, and overall tempo of spoken dialogue or narration in the scene.","characters speaking rapidly and overlapping; a fast-paced, witty banter sequence; a rapid-fire monologue or voiceover; characters interrupting each other constantly; a high volume of spoken words in a short period","Score based on the described speed, density, and frequency of spoken words, dialogue exchanges, or voiceovers.",Do not score non-verbal sounds (like groans or screams) or written text shown on screen.
SMG,4,absolute,516,pSTS::vocal_prosody_and_emotional_expression_lag4,pSTS,vocal_prosody_and_emotional_expression,audiovisual_speech_and_communication_integration,4,0.017979566787,0.023323102520,0.500000,0.500000,0.500000,6,"The presence and intensity of emotional inflection, tone, pitch, and volume in spoken words (e.g., whispering in fear, shouting in anger, trembling voice).","A voice trembling with suppressed tears; A furious, screaming argument; A tense, hushed whisper in the dark; A sarcastic, mocking tone of voice","Score based on descriptions of how words are spoken, focusing on tone, volume, trembling, screaming, whispering, and emotional inflection.","Do not score the semantic content of the words themselves, only the acoustic and emotional delivery of the speech."
SMG,5,absolute,328,pSTS::vocal_prosody_and_emotional_expression_lag3,pSTS,vocal_prosody_and_emotional_expression,audiovisual_speech_and_communication_integration,3,0.016758109052,0.022942173037,0.500000,0.500000,0.500000,6,"The presence and intensity of emotional inflection, tone, pitch, and volume in spoken words (e.g., whispering in fear, shouting in anger, trembling voice).","A voice trembling with suppressed tears; A furious, screaming argument; A tense, hushed whisper in the dark; A sarcastic, mocking tone of voice","Score based on descriptions of how words are spoken, focusing on tone, volume, trembling, screaming, whispering, and emotional inflection.","Do not score the semantic content of the words themselves, only the acoustic and emotional delivery of the speech."
SMG,6,absolute,95,SMG::dialogue_density_and_tempo_lag2,SMG,dialogue_density_and_tempo,verbal_phonological_tracking,2,0.016388237379,0.020773374100,0.500000,0.500000,0.500000,6,"The density, speed, and overall tempo of spoken dialogue or narration in the scene.","characters speaking rapidly and overlapping; a fast-paced, witty banter sequence; a rapid-fire monologue or voiceover; characters interrupting each other constantly; a high volume of spoken words in a short period","Score based on the described speed, density, and frequency of spoken words, dialogue exchanges, or voiceovers.",Do not score non-verbal sounds (like groans or screams) or written text shown on screen.
SMG,7,absolute,140,pSTS::vocal_prosody_and_emotional_expression_lag2,pSTS,vocal_prosody_and_emotional_expression,audiovisual_speech_and_communication_integration,2,0.013817748339,0.018626001287,0.666667,0.333333,0.666667,6,"The presence and intensity of emotional inflection, tone, pitch, and volume in spoken words (e.g., whispering in fear, shouting in anger, trembling voice).","A voice trembling with suppressed tears; A furious, screaming argument; A tense, hushed whisper in the dark; A sarcastic, mocking tone of voice","Score based on descriptions of how words are spoken, focusing on tone, volume, trembling, screaming, whispering, and emotional inflection.","Do not score the semantic content of the words themselves, only the acoustic and emotional delivery of the speech."
SMG,8,absolute,329,pSTS::visible_speech_and_lip_movement_lag3,pSTS,visible_speech_and_lip_movement,audiovisual_speech_and_communication_integration,3,0.017823916960,0.018290795416,0.666667,0.333333,0.666667,6,"The visual prominence of a character actively speaking, where their mouth movements, facial expressions, and lip shapes accompany their spoken words.","Extreme close-up of a character's mouth as they speak; A character speaking directly to the camera; Clear, unobstructed view of a character's face during a monologue; Intense face-to-face dialogue with visible lip movements","Score based on descriptions of close-ups, face-to-face framing, and clear visibility of the mouth and lips during speech.","Do not score off-screen voices, voiceovers, or scenes where the speaker's face is obscured or turned away."
SMG,9,absolute,517,pSTS::visible_speech_and_lip_movement_lag4,pSTS,visible_speech_and_lip_movement,audiovisual_speech_and_communication_integration,4,0.018011775795,0.018090434219,0.833333,0.166667,0.833333,6,"The visual prominence of a character actively speaking, where their mouth movements, facial expressions, and lip shapes accompany their spoken words.","Extreme close-up of a character's mouth as they speak; A character speaking directly to the camera; Clear, unobstructed view of a character's face during a monologue; Intense face-to-face dialogue with visible lip movements","Score based on descriptions of close-ups, face-to-face framing, and clear visibility of the mouth and lips during speech.","Do not score off-screen voices, voiceovers, or scenes where the speaker's face is obscured or turned away."
SMG,10,absolute,704,pSTS::vocal_prosody_and_emotional_expression_lag5,pSTS,vocal_prosody_and_emotional_expression,audiovisual_speech_and_communication_integration,5,0.014841970540,0.017635138645,0.666667,0.333333,0.666667,6,"The presence and intensity of emotional inflection, tone, pitch, and volume in spoken words (e.g., whispering in fear, shouting in anger, trembling voice).","A voice trembling with suppressed tears; A furious, screaming argument; A tense, hushed whisper in the dark; A sarcastic, mocking tone of voice","Score based on descriptions of how words are spoken, focusing on tone, volume, trembling, screaming, whispering, and emotional inflection.","Do not score the semantic content of the words themselves, only the acoustic and emotional delivery of the speech."
